Starting the BCP algorithm for the examples/C203.txt problem 
| It.:    0 | Obj.:  5887.00 | Price:  -6779.00 | SRC:   0 | RCC:   0 | Paths:  18 | Stage: 1 | Cat:    18/73    | Lag.: 20337.0000 | α: 0.50 | tr: 0.00 | gap: 0.0000 |
| It.:  170 | Obj.:  5887.00 | Price:    -48.69 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 1 | Cat:     4/7     | Lag.:   146.0736 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  180 | Obj.:  5887.00 | Price:    -72.62 | SRC:   0 | RCC:   0 | Paths:   9 | Stage: 1 | Cat:    10/28    | Lag.:   217.8588 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  190 | Obj.:  5887.00 | Price:    -44.02 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 1 | Cat:     4/7     | Lag.:   132.0495 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  200 | Obj.:  5887.00 | Price:    -37.09 | SRC:   0 | RCC:   0 | Paths:   7 | Stage: 1 | Cat:     7/23    | Lag.:   111.2623 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  210 | Obj.:  5887.00 | Price:    -20.30 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 1 | Cat:     4/32    | Lag.:    60.8907 | α: 0.85 | tr: 0.00 | gap: 0.0000 |
| It.:  220 | Obj.:  5887.00 | Price:    -37.30 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 1 | Cat:     3/43    | Lag.:   111.8876 | α: 0.88 | tr: 0.00 | gap: 0.0000 |
| It.:  230 | Obj.:  5887.00 | Price:    -23.49 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 1 | Cat:     6/183   | Lag.:    70.4621 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  240 | Obj.:  5887.00 | Price:    -40.40 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 1 | Cat:     1/11    | Lag.:   121.1884 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  250 | Obj.:  5887.00 | Price:    -24.25 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 1 | Cat:     1/10    | Lag.:    72.7626 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  260 | Obj.:  5887.00 | Price:    -30.42 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 1 | Cat:     5/63    | Lag.:    91.2674 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  270 | Obj.:  5887.00 | Price:    -48.47 | SRC:   0 | RCC:   0 | Paths:  10 | Stage: 1 | Cat:    10/22    | Lag.:   145.3953 | α: 0.68 | tr: 0.00 | gap: 0.0000 |
| It.:  280 | Obj.:  5887.00 | Price:    -48.91 | SRC:   0 | RCC:   0 | Paths:   5 | Stage: 1 | Cat:     5/92    | Lag.:   146.7310 | α: 0.83 | tr: 0.00 | gap: 0.0000 |
| It.:  290 | Obj.:  5887.00 | Price:    -99.06 | SRC:   0 | RCC:   0 | Paths:   7 | Stage: 1 | Cat:     7/15    | Lag.:   297.1759 | α: 0.84 | tr: 0.00 | gap: 0.0000 |
| It.:  300 | Obj.:  5887.00 | Price:    -87.87 | SRC:   0 | RCC:   0 | Paths:   7 | Stage: 1 | Cat:     7/115   | Lag.:   263.6081 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  310 | Obj.:  5887.00 | Price:    -58.95 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 1 | Cat:     4/70    | Lag.:   176.8418 | α: 0.82 | tr: 0.00 | gap: 0.0000 |
| It.:  320 | Obj.:  5887.00 | Price:     -6.27 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 1 | Cat:     2/146   | Lag.:    25.0641 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  330 | Obj.:  5887.00 | Price:    -20.89 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 1 | Cat:     2/17    | Lag.:    62.6625 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  340 | Obj.:  5887.00 | Price:    -43.80 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 1 | Cat:     4/242   | Lag.:   131.4095 | α: 0.83 | tr: 0.00 | gap: 0.0000 |
| It.:  350 | Obj.:  5887.00 | Price:    -59.98 | SRC:   0 | RCC:   0 | Paths:   7 | Stage: 1 | Cat:     7/99    | Lag.:   179.9353 | α: 0.82 | tr: 0.00 | gap: 0.0000 |
| It.:  360 | Obj.:  5887.00 | Price:    -11.50 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 1 | Cat:     2/86    | Lag.:    45.9908 | α: 0.82 | tr: 0.00 | gap: 0.0000 |
| It.:  370 | Obj.:  5887.00 | Price:     -9.03 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 1 | Cat:     2/125   | Lag.:    27.0857 | α: 0.89 | tr: 0.00 | gap: 0.0000 |
| It.:  380 | Obj.:  5887.00 | Price:    -17.45 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 1 | Cat:     3/226   | Lag.:    52.3360 | α: 0.82 | tr: 0.00 | gap: 0.0000 |
| It.:  390 | Obj.:  5887.00 | Price:    -76.34 | SRC:   0 | RCC:   0 | Paths:   7 | Stage: 1 | Cat:     7/191   | Lag.:   229.0148 | α: 0.42 | tr: 0.00 | gap: 0.0000 |
| It.:  400 | Obj.:  5887.00 | Price:    -12.25 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 1 | Cat:     4/163   | Lag.:    36.7643 | α: 0.64 | tr: 0.00 | gap: 0.0000 |
| It.:  410 | Obj.:  5887.00 | Price:    -21.34 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 1 | Cat:     6/440   | Lag.:    64.0084 | α: 0.72 | tr: 0.00 | gap: 0.0000 |
| It.:  420 | Obj.:  5887.00 | Price:    -22.33 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 1 | Cat:     4/262   | Lag.:    66.9814 | α: 0.79 | tr: 0.00 | gap: 0.0000 |
| It.:  430 | Obj.:  5887.00 | Price:    -84.70 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 3 | Cat:     3/6447  | Lag.:   254.0951 | α: 0.69 | tr: 0.00 | gap: 0.0000 |
| It.:  440 | Obj.:  5887.00 | Price:    -46.43 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 3 | Cat:     6/1269  | Lag.:   139.2867 | α: 0.76 | tr: 0.00 | gap: 0.0000 |
| It.:  450 | Obj.:  5887.00 | Price:    -47.37 | SRC:   0 | RCC:   0 | Paths:  14 | Stage: 3 | Cat:    14/1357  | Lag.:   189.4964 | α: 0.32 | tr: 0.00 | gap: 0.0000 |
| It.:  460 | Obj.:  5887.00 | Price:    -94.38 | SRC:   0 | RCC:   0 | Paths:   7 | Stage: 3 | Cat:     7/886   | Lag.:   283.1504 | α: 0.61 | tr: 0.00 | gap: 0.0000 |
| It.:  470 | Obj.:  5887.00 | Price:    -27.02 | SRC:   0 | RCC:   0 | Paths:   8 | Stage: 3 | Cat:     8/547   | Lag.:    81.0527 | α: 0.86 | tr: 0.00 | gap: 0.0000 |
| It.:  480 | Obj.:  5887.00 | Price:    -10.70 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 3 | Cat:     2/197   | Lag.:    42.8143 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  490 | Obj.:  5887.00 | Price:    -22.41 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 4 | Cat:     5/422   | Lag.:    67.2429 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  500 | Obj.:  5887.00 | Price:    -10.71 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 4 | Cat:     2/175   | Lag.:    32.1266 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  510 | Obj.:  5887.00 | Price:     -0.59 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     6/410   | Lag.:     1.7830 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  520 | Obj.:  5887.00 | Price:     -3.59 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 4 | Cat:     3/304   | Lag.:    10.7643 | α: 0.73 | tr: 0.00 | gap: 0.0000 |
| It.:  530 | Obj.:  5887.00 | Price:     -4.76 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 4 | Cat:     3/324   | Lag.:    19.0228 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  540 | Obj.:  5887.00 | Price:    -20.47 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 4 | Cat:     4/274   | Lag.:    61.4028 | α: 0.81 | tr: 0.00 | gap: 0.0000 |
| It.:  550 | Obj.:  5887.00 | Price:     -8.45 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     3/227   | Lag.:    25.3570 | α: 0.90 | tr: 0.00 | gap: 0.0000 |
| It.:  560 | Obj.:  5887.00 | Price:     -0.82 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     4/297   | Lag.:     2.4586 | α: 0.87 | tr: 0.00 | gap: 0.0000 |
| It.:  570 | Obj.:  5887.00 | Price:    -12.04 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 4 | Cat:     4/242   | Lag.:    48.1559 | α: 0.74 | tr: 0.00 | gap: 0.0000 |
| It.:  580 | Obj.:  5887.00 | Price:    -11.20 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 4 | Cat:     3/213   | Lag.:    33.6122 | α: 0.76 | tr: 0.00 | gap: 0.0000 |
| It.:  590 | Obj.:  5887.00 | Price:     -2.97 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 4 | Cat:     4/430   | Lag.:     8.9049 | α: 0.76 | tr: 0.00 | gap: 0.0000 |
| It.:  600 | Obj.:  5887.00 | Price:    -12.84 | SRC:   0 | RCC:   0 | Paths:   4 | Stage: 4 | Cat:     4/308   | Lag.:    38.5233 | α: 0.53 | tr: 0.00 | gap: 0.0000 |
| It.:  610 | Obj.:  5887.00 | Price:     -1.34 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 4 | Cat:     2/297   | Lag.:     5.3550 | α: 0.67 | tr: 0.00 | gap: 0.0000 |
| It.:  620 | Obj.:  5887.00 | Price:    -19.07 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 4 | Cat:     8/161   | Lag.:    57.2027 | α: 0.56 | tr: 0.00 | gap: 0.0000 |
| It.:  630 | Obj.:  5887.00 | Price:     -1.32 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     1/286   | Lag.:     3.9723 | α: 0.72 | tr: 0.00 | gap: 0.0000 |
| It.:  640 | Obj.:  5887.00 | Price:    -35.64 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 4 | Cat:     6/204   | Lag.:   106.9074 | α: 0.57 | tr: 0.00 | gap: 0.0000 |
| It.:  650 | Obj.:  5887.00 | Price:    -21.80 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 4 | Cat:     2/260   | Lag.:    65.4070 | α: 0.67 | tr: 0.00 | gap: 0.0000 |
| It.:  660 | Obj.:  5887.00 | Price:     -4.16 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     1/242   | Lag.:    12.4855 | α: 0.77 | tr: 0.00 | gap: 0.0000 |
| It.:  670 | Obj.:  5887.00 | Price:     -8.77 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 4 | Cat:     6/266   | Lag.:    26.3134 | α: 0.66 | tr: 0.00 | gap: 0.0000 |
| It.:  680 | Obj.:  5887.00 | Price:     -1.48 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     2/303   | Lag.:     4.4482 | α: 0.76 | tr: 0.00 | gap: 0.0000 |
| It.:  690 | Obj.:  5887.00 | Price:     -8.60 | SRC:   0 | RCC:   0 | Paths:   5 | Stage: 4 | Cat:     6/319   | Lag.:    25.7926 | α: 0.68 | tr: 0.00 | gap: 0.0000 |
| It.:  700 | Obj.:  5887.00 | Price:    -23.48 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 4 | Cat:     6/677   | Lag.:    93.9024 | α: 0.39 | tr: 0.00 | gap: 0.0000 |
| It.:  710 | Obj.:  5887.00 | Price:     -6.55 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 4 | Cat:     4/390   | Lag.:    19.6476 | α: 0.48 | tr: 0.00 | gap: 0.0000 |
| It.:  720 | Obj.:  5887.00 | Price:    -24.56 | SRC:   0 | RCC:   0 | Paths:   6 | Stage: 4 | Cat:     6/708   | Lag.:    73.6915 | α: 0.50 | tr: 0.00 | gap: 0.0000 |
| It.:  730 | Obj.:  5887.00 | Price:    -47.49 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     1/56    | Lag.:   142.4788 | α: 0.29 | tr: 0.00 | gap: 0.0000 |
| It.:  740 | Obj.:  5887.00 | Price:     -0.21 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     4/394   | Lag.:     0.6230 | α: 0.46 | tr: 0.00 | gap: 0.0000 |
| It.:  750 | Obj.:  5887.00 | Price:    -15.89 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 4 | Cat:     3/493   | Lag.:    47.6696 | α: 0.22 | tr: 0.00 | gap: 0.0000 |
| It.:  760 | Obj.:  5887.00 | Price:     -5.31 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 4 | Cat:     2/953   | Lag.:    15.9190 | α: 0.39 | tr: 0.00 | gap: 0.0000 |
| It.:  770 | Obj.:  5887.00 | Price:     -5.69 | SRC:   0 | RCC:   0 | Paths:   2 | Stage: 4 | Cat:     3/417   | Lag.:    17.0728 | α: 0.66 | tr: 0.00 | gap: 0.0000 |
| It.:  780 | Obj.:  5887.00 | Price:     -0.22 | SRC:   0 | RCC:   0 | Paths:   1 | Stage: 4 | Cat:     3/693   | Lag.:     0.6559 | α: 0.57 | tr: 0.00 | gap: 0.0000 |
| It.:  790 | Obj.:  5887.00 | Price:     -2.64 | SRC:   0 | RCC:   0 | Paths:   3 | Stage: 4 | Cat:     6/402   | Lag.:     7.9280 | α: 0.27 | tr: 0.00 | gap: 0.0000 |
PATH: 0 20 22 24 27 30 29 6 32 33 31 35 37 38 39 36 34 28 26 23 18 19 16 14 12 15 17 13 25 9 11 10 8 21 101 
PATH: 0 93 5 75 2 1 99 100 97 92 94 95 98 7 3 4 89 91 88 84 86 83 82 85 76 71 70 73 80 79 81 78 77 96 87 90 101 
PATH: 0 67 63 62 74 72 61 64 66 69 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 47 42 41 43 48 101 
Bound: 588.6999999999998 
Incumbent: 588.7 
Elapsed time: 38.25
